年度,exchange,symbol,module,direction,entry_time,final_exit_time_v92,tp1_time_v92,原TP1命中,V185預測4R機率,原官方逐筆U,進場前連敗數,進場前防守剩餘機會,本次已結束事件,V186判定,固定BlockKey,BTC_COMBO2可判斷,BTC_COMBO2強,BTC強條件數,BTC_D1_ADX14,BTC_D1_EMA20斜率_ATR,BTC_H4_EMA20斜率_ATR,BTC判定原因,V188大盤Override,V188最終動作,V188Key
2023,Binance,LPT/USDT:USDT,V96強勢突破延續_驗證型,LONG,2023-10-02 14:15:00+00:00,2023-10-03 04:15:00+00:00,,False,0.1729504667865227,-10.687004406361057,0,1,,V186防守｜P4R=0.1730<0.20｜跳過,"('BINANCE', 'LPTUSDT', '2023-10-02T14:15:00+00:00')",是,是,2,30.03301345933725,0.39995645897229265,1.5826457425412712,STRONG_維持V157,是,KEEP_V157_BTC_COMBO2強,"('BINANCE', 'LPTUSDT', '2023-10-02T14:15:00+00:00')"
2023,Binance,BTCDOM/USDT:USDT,V85暴漲前布局,LONG,2024-02-21 18:30:00+00:00,2024-02-21 23:30:00+00:00,,False,0.1688739066415739,-11.744046678978965,5,3,FXS/USDT:USDT:NO_TP1,V186防守｜P4R=0.1689<0.20｜跳過,"('BINANCE', 'BTCDOMUSDT', '2024-02-21T18:30:00+00:00')",是,是,2,72.35460257264826,1.2608934252368842,-0.13561130400705385,STRONG_維持V157,是,KEEP_V157_BTC_COMBO2強,"('BINANCE', 'BTCDOMUSDT', '2024-02-21T18:30:00+00:00')"
2023,Binance,BLUEBIRD/USDT:USDT,V85暴漲前布局,LONG,2024-03-02 07:15:00+00:00,2024-03-02 09:30:00+00:00,,False,0.1503833588216965,-10.78175644891093,5,2,,V186防守｜P4R=0.1504<0.20｜跳過,"('BINANCE', 'BLUEBIRDUSDT', '2024-03-02T07:15:00+00:00')",是,是,3,58.56262224254487,1.7257670506402918,0.7980926883649546,STRONG_維持V157,是,KEEP_V157_BTC_COMBO2強,"('BINANCE', 'BLUEBIRDUSDT', '2024-03-02T07:15:00+00:00')"
2023,Binance,BOND/USDT:USDT,V85暴漲前布局,LONG,2024-04-28 15:30:00+00:00,2024-04-29 02:30:00+00:00,,False,0.1996415703637778,-10.085445252549762,5,2,,V186防守｜P4R=0.1996<0.20｜跳過,"('BINANCE', 'BONDUSDT', '2024-04-28T15:30:00+00:00')",是,否,0,41.835966697036746,-0.20792158830455346,-0.33474374094652115,WEAK_允許均線回踩分流,否,BLOCK_V186防守_BTC不強,"('BINANCE', 'BONDUSDT', '2024-04-28T15:30:00+00:00')"
2023,Binance,SOL/USDT:USDT,V96強勢突破延續_驗證型,LONG,2024-05-12 03:00:00+00:00,2024-05-12 07:15:00+00:00,,False,0.1999489571115024,-10.953522241474152,0,2,WLD/USDT:USDT:TP1,V186防守｜P4R=0.1999<0.20｜跳過,"('BINANCE', 'SOLUSDT', '2024-05-12T03:00:00+00:00')",是,否,0,25.906661971274815,-0.2704108121393167,-0.6535377833230372,WEAK_允許均線回踩分流,否,BLOCK_V186防守_BTC不強,"('BINANCE', 'SOLUSDT', '2024-05-12T03:00:00+00:00')"
2023,Binance,LRC/USDT:USDT,V85暴漲前布局,LONG,2024-06-24 13:45:00+00:00,2024-06-24 20:30:00+00:00,,False,0.1519139249334954,-9.88703778034106,4,3,BTCDOM/USDT:USDT:NO_TP1,V186防守｜P4R=0.1519<0.20｜跳過,"('BINANCE', 'LRCUSDT', '2024-06-24T13:45:00+00:00')",是,否,0,36.262663033311775,-0.7138113597648296,-1.4765924363610805,WEAK_允許均線回踩分流,否,BLOCK_V186防守_BTC不強,"('BINANCE', 'LRCUSDT', '2024-06-24T13:45:00+00:00')"
2023,Binance,BTCDOM/USDT:USDT,V85暴漲前布局,LONG,2024-07-04 06:30:00+00:00,2024-07-04 08:30:00+00:00,,False,0.191527550011694,-10.952157661337406,5,3,W/USDT:USDT:NO_TP1,V186防守｜P4R=0.1915<0.20｜跳過,"('BINANCE', 'BTCDOMUSDT', '2024-07-04T06:30:00+00:00')",是,否,0,63.784903603649795,-0.47941785368905077,-0.9848287975277149,WEAK_允許均線回踩分流,否,BLOCK_V186防守_BTC不強,"('BINANCE', 'BTCDOMUSDT', '2024-07-04T06:30:00+00:00')"
2023,Binance,WAXP/USDT:USDT,V85暴漲前布局,LONG,2024-07-11 06:45:00+00:00,2024-07-11 15:45:00+00:00,,False,0.1813613610111792,-9.54986585835957,5,2,,V186防守｜P4R=0.1814<0.20｜跳過,"('BINANCE', 'WAXPUSDT', '2024-07-11T06:45:00+00:00')",是,否,0,59.61510789934569,-0.7515676252280914,0.2917612237358188,WEAK_允許均線回踩分流,否,BLOCK_V186防守_BTC不強,"('BINANCE', 'WAXPUSDT', '2024-07-11T06:45:00+00:00')"
2024,Binance,SYN/USDT:USDT,V85暴漲前布局,LONG,2025-04-14 21:30:00+00:00,2025-04-15 10:30:00+00:00,,False,0.1991267284342126,-10.72790260670706,5,3,TRX/USDT:USDT:NO_TP1,V186防守｜P4R=0.1991<0.20｜跳過,"('BINANCE', 'SYNUSDT', '2025-04-14T21:30:00+00:00')",是,否,1,22.261802447873787,0.030485821140206388,0.42668858504754287,WEAK_允許均線回踩分流,否,BLOCK_V186防守_BTC不強,"('BINANCE', 'SYNUSDT', '2025-04-14T21:30:00+00:00')"
2024,Binance,BROCCOLIF3B/USDT:USDT,V96強勢突破延續_驗證型,LONG,2025-06-21 05:30:00+00:00,2025-06-21 13:45:00+00:00,,False,0.1799824422604796,-10.674942533733867,4,2,,V186防守｜P4R=0.1800<0.20｜跳過,"('BINANCE', 'BROCCOLIF3BUSDT', '2025-06-21T05:30:00+00:00')",是,否,0,17.99958912193798,-0.18630294503613604,-0.3426659291937288,WEAK_允許均線回踩分流,否,BLOCK_V186防守_BTC不強,"('BINANCE', 'BROCCOLIF3BUSDT', '2025-06-21T05:30:00+00:00')"
