variant,source_candidate_id,router_key,exchange,symbol,direction,entry_mode,original_signal_time,original_entry_time,routed,router_action,router_status,token_extension,btc_extension,breakout_level,retest_time,reclaim_time,new_entry_time,new_entry
CONTROL,be25b32a2014e47de19787be99f0ca94917d2945c440d07ce9a0a9edf78b957b,Binance|1000PEPE/USDT:USDT|2023-08-11T03:30:00+00:00,Binance,1000PEPE/USDT:USDT,LONG,壓縮早突破,2023-08-11 03:15:00+00:00,2023-08-11 03:30:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-08-11 03:30:00+00:00,0.0012669
CONTROL,7ee7e59daeaa02b8a487192e0696f5ec2bfe947c36967764abdf2e390f05673f,Binance|KNC/USDT:USDT|2023-08-11T19:00:00+00:00,Binance,KNC/USDT:USDT,LONG,壓縮早突破,2023-08-11 18:45:00+00:00,2023-08-11 19:00:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-08-11 19:00:00+00:00,0.6473
CONTROL,e20428a2d66cbe11ceb2ca690544b193e402c00c3cff1dbecf04baa8141d4a38,Binance|ARKM/USDT:USDT|2023-08-13T00:30:00+00:00,Binance,ARKM/USDT:USDT,LONG,壓縮早突破,2023-08-13 00:15:00+00:00,2023-08-13 00:30:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-08-13 00:30:00+00:00,0.4375
CONTROL,17c00d9ba8872e5a2f2f630cb32cd67764e760699c958b590091d67c2366eaec,Binance|QNT/USDT:USDT|2023-08-16T04:15:00+00:00,Binance,QNT/USDT:USDT,LONG,壓縮早突破,2023-08-16 04:00:00+00:00,2023-08-16 04:15:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-08-16 04:15:00+00:00,101.31
CONTROL,57ca31f390f53c8108cfb3129c86ae80b4134ab34568bce8903fd44fdfd787eb,Binance|GMX/USDT:USDT|2023-08-22T16:00:00+00:00,Binance,GMX/USDT:USDT,SHORT,,,2023-08-22 16:00:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-08-22 16:00:00+00:00,35.99
CONTROL,3877eb9de5882a145153bc47dd7fa623bc3c426551652acddc9388a3cfb7c2eb,Binance|XVG/USDT:USDT|2023-08-28T23:30:00+00:00,Binance,XVG/USDT:USDT,LONG,壓縮早突破,2023-08-28 23:15:00+00:00,2023-08-28 23:30:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-08-28 23:30:00+00:00,0.003428568
CONTROL,36ab0f9fb5c3f95b520de690f91fba7c2c2825c19bebe09dbcf77653e3b962d5,Binance|APE/USDT:USDT|2023-08-29T22:15:00+00:00,Binance,APE/USDT:USDT,LONG,壓縮早突破,2023-08-29 22:00:00+00:00,2023-08-29 22:15:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-08-29 22:15:00+00:00,1.503765142857143
CONTROL,4516ce2fd5ea047db63b11d0cc3146eff3d110a0b6be8a373c6f16e309880ebe,Binance|DEFI/USDT:USDT|2023-08-31T09:45:00+00:00,Binance,DEFI/USDT:USDT,LONG,壓縮早突破,2023-08-31 09:30:00+00:00,2023-08-31 09:45:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-08-31 09:45:00+00:00,443.2
CONTROL,66d92527c3dd10ead23a5a34bacdde743f770c9bc547cfe162a1a2983b58b5c4,Binance|DOGE/USDT:USDT|2023-09-05T05:15:00+00:00,Binance,DOGE/USDT:USDT,LONG,壓縮早突破,2023-09-05 05:00:00+00:00,2023-09-05 05:15:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-09-05 05:15:00+00:00,0.06366
CONTROL,a7f66211c8fd753a661359d719954c83bdc50033e5d7a2b65e02e4c09187b863,Binance|ARPA/USDT:USDT|2023-09-06T18:00:00+00:00,Binance,ARPA/USDT:USDT,LONG,壓縮早突破,2023-09-06 17:45:00+00:00,2023-09-06 18:00:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-09-06 18:00:00+00:00,0.0453
CONTROL,1a0667aec090a3da8608a8b9656d5fbe06b6535a625cca199ef4cd46fd80c63f,Binance|TOMO/USDT:USDT|2023-09-19T01:45:00+00:00,Binance,TOMO/USDT:USDT,LONG,壓縮早突破,2023-09-19 01:30:00+00:00,2023-09-19 01:45:00+00:00,False,UNCHANGED,CONTROL_UNCHANGED,,,,,,2023-09-19 01:45:00+00:00,1.2224614857142857
